Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HD 202575,4730,60,0.73,0.03,4.5,0.05,-0.02,0.05,0.75,0.03,9.96,0.47,61.8,7.9,A1,Yee,319.1352791666666,9.393826388888888
HD 203471,5425,60,2.34,0.31,3.72,0.05,-0.02,0.05,1.02,0.18,9.94,0.22,7.7,8.3,A1,Yee,320.39330041666665,28.564677500000002
HD 203473,5781,60,1.52,0.2,4.11,0.05,0.19,0.05,1.1,0.11,9.86,0.14,13.2,8.2,A1,Yee,320.57864125,5.023585277777777
HD 20367,6094,60,1.1,0.07,4.46,0.05,0.17,0.05,1.14,0.04,9.18,0.22,37.8,6.4,A1,Yee,49.41686166666666,31.127044444444444
HD 206635,4944,60,2.41,0.24,3.65,0.05,-0.18,0.05,0.87,0.06,10.16,0.04,11.0,8.3,A1,Yee,325.85558374999994,1.8009097222222223
HD 207077,5068,60,3.65,0.39,3.27,0.05,-0.31,0.05,0.92,0.07,10.05,0.11,5.9,8.3,A2,Yee,326.68352958333327,-8.007185277777777
HD 208313,5016,60,0.78,0.04,4.51,0.05,0.02,0.05,0.81,0.04,9.87,0.49,48.8,7.8,A1,Yee,328.68766374999996,32.32856666666667
HD 209393,5651,60,0.86,0.04,4.57,0.05,-0.14,0.05,0.93,0.04,9.31,0.34,29.4,7.9,A1,Yee,330.52245666666664,44.3431675
HD 210373,4876,60,5.06,0.6,3.15,0.05,0.21,0.05,1.34,0.16,9.64,0.17,7.2,7.5,A1,Yee,332.4145629166666,22.24219916666667
HD 211681,5710,60,1.59,0.2,4.1,0.05,0.35,0.05,1.18,0.11,9.77,0.13,14.2,8.1,A1,Yee,331.70444583333335,85.40938138888889
HD 215049,5109,60,2.65,0.35,3.63,0.05,0.06,0.05,1.12,0.16,9.89,0.23,9.3,8.3,A1,Yee,340.71769749999993,-27.886892222222222
HD 216834,5058,60,3.17,0.35,3.4,0.05,-0.23,0.05,0.91,0.06,10.09,0.09,7.7,8.1,A1,Yee,344.08518999999995,-6.5458375
HD 217681,4954,60,3.36,0.42,3.45,0.05,0.24,0.05,1.2,0.16,9.81,0.19,10.7,7.8,A1,Yee,345.63288916666664,-11.265694722222221
HD 21774,5692,60,1.23,0.13,4.25,0.05,0.2,0.05,1.02,0.06,9.93,0.13,18.7,8.2,A1,Yee,52.81426416666666,20.768076388888886
HD 220339,4954,60,0.71,0.04,4.56,0.05,-0.24,0.05,0.75,0.04,9.79,0.52,52.4,7.8,A1,Yee,350.7703970833333,-10.76424361111111
HD 221504,5334,60,2.36,0.28,3.76,0.05,0.29,0.05,1.23,0.12,9.76,0.14,11.8,8.1,A1,Yee,353.2110783333333,-21.687689722222224
HD 221822,5420,60,0.76,0.04,4.57,0.05,-0.37,0.05,0.81,0.04,9.59,0.48,25.8,8.4,A2,Yee,353.84641624999995,2.225327777777778
HD 222038,5629,60,1.22,0.13,4.25,0.05,0.22,0.05,1.0,0.06,9.98,0.12,16.3,8.4,A2,Yee,354.322455,-1.5198230555555554
HD 222986,5859,60,1.04,0.07,4.47,0.05,0.26,0.05,1.09,0.05,9.26,0.29,14.7,8.8,A1,Yee,356.3959170833333,40.44350277777777
